gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
female,group C,associate's degree,standard,none,91.0,86.0,84.0
female,group B,some college,free/reduced,completed,53.0,66.0,73.0
male,group D,bachelor's degree,standard,none,80.0,73.0,72.0
male,group C,some college,free/reduced,none,74.0,77.0,73.0
male,group E,some college,standard,completed,84.0,83.0,78.0
male,group D,associate's degree,free/reduced,none,81.0,75.0,78.0
male,group B,associate's degree,free/reduced,completed,69.0,70.0,63.0
female,group B,some high school,standard,completed,54.0,61.0,62.0
male,group C,associate's degree,free/reduced,none,87.0,73.0,72.0
male,group B,some high school,standard,completed,51.0,54.0,41.0
male,group A,high school,free/reduced,none,45.0,47.0,49.0
male,group E,some high school,standard,none,30.0,26.0,22.0
female,group B,high school,free/reduced,completed,67.0,80.0,81.0
female,group D,some college,free/reduced,none,49.0,65.0,61.0
male,group D,some college,standard,completed,85.0,81.0,85.0
female,group D,some high school,standard,completed,65.0,78.0,82.0
male,group D,high school,standard,none,53.0,52.0,42.0
male,group D,bachelor's degree,free/reduced,none,55.0,46.0,44.0
female,group D,some high school,standard,none,48.0,58.0,54.0
female,group D,associate's degree,free/reduced,none,56.0,65.0,63.0
male,group C,master's degree,standard,none,79.0,72.0,69.0
female,group C,bachelor's degree,free/reduced,completed,43.0,51.0,54.0
female,group C,some college,free/reduced,completed,45.0,73.0,70.0
female,group C,high school,free/reduced,none,36.0,53.0,43.0
male,group D,some high school,free/reduced,completed,80.0,79.0,79.0
male,group D,associate's degree,standard,none,80.0,75.0,77.0
male,group D,bachelor's degree,standard,completed,68.0,74.0,74.0
female,group C,associate's degree,standard,none,40.0,59.0,51.0
female,group A,high school,free/reduced,completed,34.0,48.0,41.0
female,group D,some college,free/reduced,none,49.0,58.0,60.0
male,group B,some college,standard,none,62.0,61.0,57.0
male,group D,some college,standard,completed,71.0,61.0,69.0
male,group B,bachelor's degree,free/reduced,none,62.0,63.0,56.0
male,group E,some college,standard,none,76.0,71.0,72.0
male,group E,some college,standard,none,84.0,77.0,71.0
female,group B,some college,free/reduced,none,45.0,53.0,55.0
male,group D,associate's degree,free/reduced,none,77.0,78.0,73.0
female,group D,some college,standard,none,69.0,77.0,77.0
female,group C,master's degree,standard,none,73.0,78.0,74.0
female,group C,some high school,free/reduced,none,0.0,17.0,10.0
male,group C,associate's degree,standard,completed,82.0,75.0,77.0
male,group B,some high school,standard,completed,65.0,66.0,62.0
male,group D,bachelor's degree,standard,completed,67.0,61.0,68.0
female,group A,some college,standard,none,54.0,63.0,67.0
male,group D,associate's degree,free/reduced,none,90.0,87.0,75.0
female,group E,high school,standard,completed,59.0,63.0,75.0
male,group D,high school,free/reduced,none,74.0,70.0,69.0
female,group C,high school,standard,none,29.0,29.0,30.0
male,group D,some high school,standard,completed,89.0,88.0,82.0
female,group A,high school,standard,completed,75.0,82.0,79.0
male,group B,some college,standard,completed,71.0,75.0,70.0
female,group D,associate's degree,standard,none,64.0,76.0,74.0
male,group C,some college,standard,completed,79.0,79.0,78.0
female,group B,some college,free/reduced,completed,48.0,56.0,58.0
female,group C,some high school,standard,none,69.0,73.0,73.0
female,group D,some college,standard,none,69.0,74.0,74.0
male,group D,bachelor's degree,standard,none,88.0,78.0,83.0
male,group C,associate's degree,standard,none,58.0,54.0,52.0
male,group B,associate's degree,standard,none,87.0,85.0,73.0
female,group A,some high school,standard,completed,85.0,90.0,92.0
male,group A,some high school,standard,completed,46.0,41.0,43.0
female,group C,some high school,free/reduced,completed,71.0,84.0,87.0
female,group C,associate's degree,standard,none,81.0,77.0,79.0
female,group B,some college,free/reduced,none,58.0,61.0,66.0
male,group D,master's degree,free/reduced,completed,84.0,89.0,90.0
female,group C,bachelor's degree,free/reduced,completed,66.0,74.0,81.0
female,group D,some college,free/reduced,none,55.0,71.0,69.0
male,group C,high school,free/reduced,none,59.0,53.0,52.0
female,group D,some college,free/reduced,completed,58.0,63.0,73.0
female,group D,associate's degree,standard,none,82.0,95.0,89.0
male,group E,associate's degree,standard,completed,66.0,63.0,64.0
female,group C,bachelor's degree,standard,none,81.0,88.0,90.0
male,group C,some college,free/reduced,none,58.0,57.0,54.0
female,group A,associate's degree,free/reduced,none,37.0,57.0,56.0
male,group C,some high school,standard,completed,63.0,60.0,57.0
male,group E,some high school,standard,completed,77.0,76.0,77.0
female,group D,some college,standard,completed,85.0,86.0,98.0
male,group B,associate's degree,free/reduced,none,57.0,56.0,57.0
female,group A,some high school,standard,none,48.0,66.0,65.0
male,group C,some high school,standard,none,51.0,52.0,44.0
male,group D,some college,free/reduced,none,63.0,61.0,60.0
male,group D,some high school,free/reduced,none,45.0,37.0,37.0
male,group C,bachelor's degree,standard,none,83.0,78.0,73.0
female,group C,some college,standard,none,60.0,72.0,74.0
male,group B,bachelor's degree,standard,none,63.0,71.0,69.0
female,group C,high school,free/reduced,none,62.0,67.0,64.0
female,group D,some college,standard,completed,68.0,78.0,77.0
female,group B,some high school,standard,completed,60.0,70.0,74.0
female,group C,some high school,standard,completed,77.0,90.0,85.0
male,group A,some college,free/reduced,none,28.0,23.0,19.0
male,group C,master's degree,free/reduced,none,79.0,81.0,71.0
female,group E,some college,standard,none,100.0,92.0,97.0
male,group D,bachelor's degree,standard,none,69.0,58.0,57.0
male,group B,high school,free/reduced,none,66.0,77.0,70.0
female,group B,some college,standard,none,19.0,38.0,32.0
male,group D,associate's degree,standard,none,75.0,68.0,64.0
male,group D,some college,standard,none,60.0,63.0,59.0
female,group A,some college,standard,none,58.0,70.0,67.0
female,group C,associate's degree,standard,none,69.0,80.0,71.0
female,group C,associate's degree,free/reduced,completed,56.0,68.0,70.0
male,group C,associate's degree,standard,completed,73.0,78.0,72.0
male,group E,some college,standard,none,66.0,57.0,52.0
male,group A,associate's degree,standard,none,67.0,57.0,53.0
female,group C,associate's degree,free/reduced,none,64.0,73.0,68.0
male,group A,high school,standard,none,71.0,74.0,64.0
male,group B,high school,standard,none,70.0,65.0,60.0
male,group E,associate's degree,standard,none,53.0,45.0,40.0
male,group C,high school,standard,none,75.0,81.0,71.0
female,group B,high school,standard,completed,68.0,83.0,78.0
female,group C,high school,standard,none,44.0,61.0,52.0
female,group D,bachelor's degree,free/reduced,none,29.0,41.0,47.0
female,group B,high school,free/reduced,none,71.0,87.0,82.0
male,group A,high school,standard,none,57.0,51.0,54.0
female,group A,bachelor's degree,standard,none,45.0,59.0,64.0
female,group C,some college,free/reduced,none,76.0,83.0,88.0
male,group C,high school,standard,none,61.0,56.0,55.0
male,group C,some high school,free/reduced,completed,45.0,52.0,49.0
male,group D,high school,standard,completed,55.0,41.0,48.0
male,group B,high school,standard,completed,73.0,69.0,68.0
male,group D,high school,free/reduced,completed,78.0,77.0,80.0
female,group A,master's degree,free/reduced,none,50.0,67.0,73.0
female,group C,some college,free/reduced,none,62.0,67.0,62.0
male,group D,master's degree,standard,none,81.0,81.0,84.0
female,group C,some high school,free/reduced,completed,64.0,79.0,77.0
female,group D,some high school,standard,completed,64.0,60.0,74.0
male,group D,some high school,standard,none,73.0,66.0,62.0
female,group D,associate's degree,standard,completed,73.0,75.0,80.0
female,group C,some high school,standard,completed,67.0,74.0,77.0
male,group B,associate's degree,standard,none,61.0,42.0,41.0
male,group C,some high school,standard,completed,67.0,73.0,68.0
female,group D,some high school,standard,none,65.0,82.0,81.0
male,group D,associate's degree,standard,none,80.0,75.0,69.0
male,group D,some high school,free/reduced,none,59.0,42.0,41.0
female,group E,master's degree,standard,completed,88.0,99.0,95.0
female,group C,associate's degree,standard,none,62.0,74.0,70.0
female,group C,high school,free/reduced,none,33.0,41.0,43.0
female,group C,bachelor's degree,standard,completed,79.0,92.0,89.0
male,group B,some high school,standard,completed,84.0,83.0,75.0
male,group A,master's degree,free/reduced,none,73.0,74.0,72.0
female,group A,associate's degree,free/reduced,none,41.0,51.0,48.0
female,group E,associate's degree,free/reduced,none,50.0,56.0,54.0
female,group B,high school,standard,completed,58.0,70.0,68.0
male,group D,some high school,free/reduced,completed,55.0,59.0,59.0
male,group D,high school,standard,none,45.0,48.0,46.0
male,group D,some high school,standard,completed,88.0,74.0,75.0
female,group B,associate's degree,free/reduced,none,46.0,61.0,55.0
male,group A,some high school,standard,none,51.0,31.0,36.0
male,group D,some high school,standard,none,75.0,74.0,69.0
male,group E,some college,free/reduced,completed,49.0,52.0,51.0
female,group E,high school,standard,none,75.0,86.0,79.0
female,group E,high school,standard,completed,74.0,79.0,80.0
female,group B,associate's degree,standard,completed,61.0,86.0,87.0
male,group C,associate's degree,standard,none,62.0,65.0,58.0
male,group C,some high school,free/reduced,none,68.0,63.0,54.0
female,group D,master's degree,standard,none,78.0,91.0,96.0
female,group E,some college,standard,none,71.0,70.0,76.0
female,group D,high school,free/reduced,none,49.0,57.0,52.0
female,group A,bachelor's degree,standard,none,59.0,72.0,70.0
male,group E,bachelor's degree,free/reduced,completed,79.0,74.0,72.0
female,group E,associate's degree,standard,none,51.0,51.0,54.0
female,group C,bachelor's degree,standard,completed,56.0,79.0,72.0
male,group B,high school,standard,completed,76.0,62.0,60.0
female,group D,some college,standard,completed,69.0,79.0,81.0
male,group C,some high school,free/reduced,completed,51.0,56.0,53.0
male,group D,some college,standard,completed,82.0,82.0,88.0
male,group C,some college,standard,none,73.0,74.0,61.0
male,group C,high school,free/reduced,completed,40.0,46.0,50.0
male,group E,some college,free/reduced,none,93.0,90.0,83.0
female,group C,bachelor's degree,standard,completed,59.0,64.0,75.0
female,group B,associate's degree,standard,none,73.0,76.0,80.0
male,group B,some high school,standard,completed,85.0,84.0,78.0
male,group E,associate's degree,standard,none,76.0,71.0,67.0
female,group D,associate's degree,free/reduced,completed,77.0,89.0,98.0
female,group D,some college,free/reduced,completed,67.0,86.0,83.0
male,group D,some college,free/reduced,none,61.0,47.0,56.0
female,group D,some high school,free/reduced,none,27.0,34.0,32.0
male,group D,high school,standard,none,54.0,52.0,52.0
female,group C,master's degree,free/reduced,completed,65.0,81.0,81.0
female,group E,associate's degree,standard,none,87.0,94.0,95.0
female,group C,some high school,standard,completed,70.0,82.0,76.0
female,group B,high school,standard,none,54.0,64.0,68.0
female,group C,high school,free/reduced,none,66.0,76.0,68.0
female,group D,master's degree,free/reduced,completed,85.0,95.0,100.0
male,group C,some high school,free/reduced,completed,56.0,61.0,60.0
male,group E,master's degree,standard,none,90.0,85.0,84.0
male,group E,high school,standard,none,70.0,55.0,56.0
female,group B,bachelor's degree,standard,none,61.0,72.0,70.0
male,group A,bachelor's degree,free/reduced,completed,49.0,58.0,60.0
male,group C,high school,standard,none,81.0,66.0,64.0
male,group B,some college,standard,completed,87.0,84.0,86.0
male,group B,some high school,free/reduced,completed,49.0,50.0,52.0
male,group B,some high school,standard,none,68.0,54.0,53.0
male,group C,associate's degree,free/reduced,none,77.0,67.0,64.0
female,group B,bachelor's degree,free/reduced,none,78.0,79.0,76.0
male,group C,associate's degree,free/reduced,completed,60.0,51.0,56.0
female,group D,high school,free/reduced,completed,52.0,57.0,56.0
male,group E,associate's degree,standard,completed,62.0,56.0,53.0
female,group B,some college,free/reduced,none,74.0,81.0,76.0
female,group C,associate's degree,standard,none,65.0,77.0,74.0
female,group D,some high school,standard,completed,61.0,74.0,72.0
